id;cap;sigla_provincia
1344;16040;GE
1345;16045;GE
1346;16024;GE
1347;16010;GE
1348;16010;GE
1349;16046;GE
1350;16018;GE
1351;16047;GE
1352;16030;GE
1353;16025;GE
1354;16026;GE
1355;16040;GE
1356;16040;GE
1357;16040;GE
1358;16031;GE
1359;16034;GE
1360;16027;GE
1361;16035;GE
1362;16036;GE
1363;16048;GE
1364;16019;GE
1365;16025;GE
1366;16010;GE
1367;16028;GE
1368;16040;GE
1369;16038;GE
1370;16010;GE
1371;16049;GE
1372;16010;GE
1373;16010;GE
1374;16039;GE
1375;16031;GE
1376;16010;GE
1377;16029;GE
1378;16030;GE
1379;16036;GE
1380;16010;GE
1381;16010;GE
1382;16035;GE
1383;19031;SP
1384;19021;SP
1385;19020;SP
1386;19020;SP
1387;19011;SP
1388;19020;SP
1389;19020;SP
1390;19020;SP
1391;19012;SP
1392;19020;SP
1393;19033;SP
1394;19013;SP
1395;19020;SP
1396;19014;SP
1397;19121;SP
1398;19122;SP
1399;19123;SP
1400;19124;SP
1401;19125;SP
1402;19126;SP
1403;19131;SP
1404;19132;SP
1405;19133;SP
1406;19134;SP
1407;19135;SP
1408;19136;SP
1409;19137;SP
1410;19032;SP
1411;19015;SP
1412;19010;SP
1413;19016;SP
1414;19034;SP
1415;19020;SP
1416;19025;SP
1417;19020;SP
1418;19017;SP
1419;19020;SP
1420;19037;SP
1421;19038;SP
1422;19020;SP
1423;19028;SP
1424;19018;SP
1425;19020;SP
1426;19020;SP
1427;21010;VA
1428;21041;VA
1429;21021;VA
1430;21051;VA
1431;21010;VA
1432;21022;VA
1433;21030;VA
1434;21020;VA
1435;21039;VA
1436;21050;VA
1437;21010;VA
1438;21023;VA
1439;21024;VA
1440;21050;VA
1441;21020;VA
1442;21020;VA
1443;21030;VA
1444;21010;VA
1445;21030;VA
1446;21030;VA
1447;21020;VA
1448;21050;VA
1449;21020;VA
1450;21052;VA
1451;21031;VA
1452;21050;VA
1453;21050;VA
1454;21032;VA
1455;21010;VA
1456;21040;VA
1457;21042;VA
1458;21040;VA
1459;21020;VA
1460;21030;VA
1461;21020;VA
1462;21011;VA
1463;21012;VA
1464;21030;VA
1465;21053;VA
1466;21030;VA
1467;21050;VA
1468;21010;VA
1469;21043;VA
1470;21040;VA
1471;21044;VA
1472;21020;VA
1473;21040;VA
1474;21033;VA
1475;21050;VA
1476;21034;VA
1477;21020;VA
1478;21025;VA
1479;21030;VA
1480;21020;VA
1481;21050;VA
1482;21030;VA
1483;21035;VA
1484;21010;VA
1485;21030;VA
1486;21030;VA
1487;21020;VA
1488;21010;VA
1489;21030;VA
1490;21054;VA
1491;21010;VA
1492;21030;VA
1493;21013;VA
1494;21020;VA
1495;21026;VA
1496;21045;VA
1497;21036;VA
1498;21040;VA
1499;21010;VA
1500;21010;VA
1501;21050;VA
1502;21055;VA
1503;21040;VA
1504;21030;VA
1505;21020;VA
1506;21056;VA
1507;21027;VA
1508;21040;VA
1509;21037;VA
1510;21014;VA
1511;21038;VA
1512;21050;VA
1513;21015;VA
1514;21040;VA
1515;21016;VA
1516;21020;VA
1517;21046;VA
1518;21030;VA
1519;21050;VA
1520;21030;VA
1521;21030;VA
1522;21020;VA
1523;21030;VA
1524;21010;VA
1525;21020;VA
1526;21040;VA
1527;21020;VA
1528;21040;VA
1529;21057;VA
1530;21040;VA
1531;21030;VA
1532;21050;VA
1533;21010;VA
1534;21030;VA
1535;21020;VA
1536;21050;VA
1537;21017;VA
1538;21047;VA
1539;21018;VA
1540;21048;VA
1541;21058;VA
1542;21019;VA
1543;21040;VA
1544;21020;VA
1545;21020;VA
1546;21049;VA
1547;21028;VA
1548;21010;VA
1549;21040;VA
1550;21039;VA
1551;21020;VA
1552;21100;VA
1553;21040;VA
1554;21040;VA
1555;21040;VA
1556;21029;VA
1557;21059;VA
1558;21010;VA
1559;21038;VA
1560;21061;VA
1561;21062;VA
1562;21020;VA
1563;22031;CO
1564;22032;CO
1565;22070;CO
1566;22040;CO
1567;22040;CO
1568;22040;CO
1569;22070;CO
1570;22010;CO
1571;22060;CO
1572;22033;CO
1573;22030;CO
1574;22010;CO
1575;22070;CO
1576;22070;CO
1577;22020;CO
1578;22028;CO
1579;22020;CO
1580;22070;CO
1581;22040;CO
